Swimlane,Label,Product Feature,Platform,ODD,Environment,Trailer,Details,Next,Capabilities,,,,,
,PF-SV-1.1,Internal Supervision (SDIC),Terberg,PF-ODD-1,PF-ENV-4.1,PF-CRG-1,,Y,TBD,,,,,
,PF-SV-2.1,External Supervision (Line-of-Sight),Terberg,PF-ODD-1,PF-ENV-4.1,PF-CRG-1,,Y,TBD,,,,,
,PF-SV-3.1,Remote Monitoring: M0,Terberg,PF-ODD-1,PF-ENV-4.1,N/A,,Y,"CA-SV-1.1 Stream situational awareness info to single monitoring station with max latency of Xms
CA-SV-1.2 Stream situational to an N monitoring stations with a max latency of Yms",,,,,
,PF-SV-4.1,Remote Supervision: Remote Intervention,Terberg,PF-ODD-1,PF-ENV-4.1,PF-CRG-1,,Y,CA-SV-2.1 Remotely intervene (bring AV to a controlled stop along current path) from a remote assistance station.,"CA-SV-3.1 Remote Drive (M4) the AV using an appropriate Remote Assistance Station (single station)
CA-SV-3.2 Switch Remote Driving command between stations (?)",,,,
,,,,,,,,,,,,,,
,PF-HRI,Human-Robot Interactions,,,,,,,,,,,,
,PF-HRI-2.1,Proximal human: Switch into and out of SAFESTATE when human close to AV,Terberg,PF-ODD-1,PF-ENV-4,N/A,,Y,"CA-HRI-1.1 Detect proximal humans, and switch to SAFESTATE when a human violates buffer",,,,,
,PF-HRI-3.1,External HMI: HMI to continue mission (and switch out of SAFESTATE),Terberg,PF-ODD-1,PF-ENV-4,N/A,,Y,CA-HRI-2.1 Provide an interface (remote? offboard? onboard?) to allow a human to switch the AV out of SAFESTATE to continue the mission,,,,,
,,,,,,,,,,,,,,
,PF-TOW,Towing,,,,,,,,,,,,
,PF-TOW-1.1,"Tow a semi-trailer while accounting for trailer kinematics, dynamics",Terberg,PF-ODD-1,PF-ENV-4,PF-CRG-1,,Y,"CA-TOW-1.1 Tow semi-trailers (PF-TRL-1.2) along prescribed drivelines (e.g., exemplars, path pre-planning) while accounting for kinematics 
CA-TOW-1.2 Tow semi-trailers (PF-TRL-1.2) along learned drivelines (ml path hints) while accounting for kinematics ",CA-TOW-2.1 Tow semi-trailers (PF-TRL-1.2) with variable weights,"CA-TOW-3.1 Tow semi-trailers (single model per operation) with variable configs (eg chassis only, chassis + container)
CA-TOW-3.2 Terberg: support multiple trailer models per platform",,,
,PF-TOW-2.1,"Borrow adjacent lane while accounting for trailer kinematics, dynamics",Terberg,PF-ODD-1,PF-ENV-4,PF-CRG-1,,Y,CA-TOW-4.1 Borrow adjacent lanes when required (incl in intersections) when the tractor-trailer cannot fit inside the lane,,,,,
,PF-TOW-3.1,"Change lanes while accounting for trailer kinematics, dynamics",Terberg,PF-ODD-1,PF-ENV-4,PF-CRG-1,,Y,"CA-TOW-5.1 Change lanes for navigation purposes while accounting for trailer kinematics, dynamics",,,,,
,,,N/A,,,,,,,,,,,
,PF-REV,Reversing,,,,,,,,,,,,
,PF-REV-1.1,Reverse the AV (Terberg),Terberg,PF-ODD-1,PF-ENV-1,N/A,,Y,CA-REV-1.1 Support reversing with the Terberg (AV only),,,,,
,PF-REV-2.1,Reverse with a Semi-Trailer: isolated presribed parking bay (small set),Terberg,PF-ODD-1,PF-ENV-1,PF-CRG-1,,Y,"CA-REV-2.1 Reverse a semi-trailer into an unobscured, numbered parking bay (mapped corridor)",,,,,
,PF-REV-3.1,Reverse with a Semi-Trailer: crowded prescribed parking bay (small set),Terberg,PF-ODD-1,PF-ENV-1,PF-CRG-1,,Y,"CA-REV-3.1 Reverse a semi-trailer into a prescribed, numbered parking bay with adjacent obstacles (min 0.6m clearance) (mapped corridor)",,,,,
,PF-REV-4.1,Reverse with a Semi-Trailer: crowded prescribed parking bay (large set),Terberg,PF-ODD-1,PF-ENV-1,PF-CRG-1,,,,,,,,
,,,,,,,,,,,,,,
,PF-DCK,Docking,,,,,,,,,,,,
,PF-DCK-1.1,Initial approach of a prescribed isolated dock (small set),Terberg,PF-ODD-1,PF-ENV-1,PF-CRG-1,,,,,,,,
,PF-DCK-2.1,Initial approach of a prescribed isolated dock (large set),Terberg,PF-ODD-1,PF-ENV-1,PF-CRG-1,,,,,,,,
,PF-DCK-3.1,Final approach of a prescribed crowded dock (small set),Terberg,PF-ODD-1,PF-ENV-1,PF-CRG-1,,,,,,,,
,PF-DCK-4.1,Final approach of a prescribed crowded dock (large set),Terberg,PF-ODD-1,PF-ENV-1,PF-CRG-1,,,,,,,,
,,,,,,,,,,,,,,
,PF-CHE,CHE Interactions,,,,,,,,,,,,
,PF-CHE-1.1,"Rendevous with a mobile Reach Stacker at an a priori mapped location, with an external (RA, TOS) confirmation of task completion",Terberg,PF-ODD-1,PF-ENV-4,PF-CRG-1,,Y,CA-CHE-1.1 Interact with a CHE at a pre-defined location (incl switch into/ out of SAFESTATE),"CA-CHE-2.1 RA loading/ unloading task completion determination
CA-CHE-2.2 TOS loading/ unloading task completion emission",,,,
,PF-CHE-2.1,"Rendevous with a mobile Gantry at an a priori mapped location, with an external (RA, TOS) confirmation of task completion",Terberg,PF-ODD-1,PF-ENV-4,PF-CRG-1,,Y,"CA-CHE-1.1
CA-CHE-2.1
CA-CHE-2.2",,,,,
,PF-CHE-3.1,"Rendevous with an STS crane at an a priori mapped location, with an external (RA, TOS) confirmation of task completion",Terberg,PF-ODD-1,PF-ENV-4,PF-CRG-1,,Y,"CA-CHE-1.1
CA-CHE-2.1
CA-CHE-2.2",,,,,
,PF-CHE-3.2,"Rendevous with an STS crane at a location relative to the crane, with an external (RA, TOS) confirmation of task completion",Terberg,PF-ODD-1,PF-ENV-4,PF-CRG-1,,Y,CA-CHE-1.2 Detect STS and execute relative navigation tasks,,,,,
,,,,,,,,,,,,,,
,PF-HCH,Hinching/ Unhitching,,,,,,,,,,,,
,PF-HCH-1.1,Hitch a semi-trailer with a controllable 5th wheel,Terberg,PF-ODD-1,PF-ENV-1,PF-CRG-1,,Y,CA-HCH-1.1 Object-relative navigation,CA-HCH-2.1 BeeHive complex navigation and custom task interweaving and execution,CA-HCH-3.1 5th wheel control and task execution (height and jaw),CA-HCH-4.1 PP: Selective collission avoidance/ checking suppression,CA-HCH-5.1 SP: Selective collission avoidance/ checking suppression,CA-HCH-6.1 Trailer gooseneck height estimation
,PF-HCH-2.1,Unhitch a semi-trailer with a controllable 5th wheel,Terberg,PF-ODD-1,PF-ENV-1,PF-CRG-1,,Y,"CA-HCH-2.1
CA-HCH-3.1
CA-HCH-4.1
CA-CHC-5.1",,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
CE Marking,,CE Marking,Terberg,PF-ODD-1,PF-ENV-1,PF-CRG-1,"Technical conformity file is complete, and includes results from manditory testing (EMC), and validation evidence of safety functions.",,"* EMC testing;
* Technical Conformity File completed;
* Safety function: Avoid collision;
* Safety function: Avoid Hazards
* Safety function: Prevent motion during interaction",,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Fleet management,PF-XMS-1.1,xMS interactions: dispatch to mapped location and communicate completion,Terberg,N/A,N/A,N/A,,,,,,,,
,PF-XMS-2.1,API: Support XYZ MS at Jebel Ali,Terberg,N/A,N/A,N/A,,,,,,,,
,,,,,,,,,,,,,,
Operations,PF-OPS-1.1,Boot: Remote boot and mode control,,,,,,,,,,,,
,PF-OPS-2.1,Mission: Automatic launch of driving operations,,,,,,,,,,,,
,PF-OPS-2.2,Mission: Automatic retire at end of shift,,,,,,,,,,,,
,PF-OPS-2.3,Mission: Automatic fuel assistance request,,,,,,,,,,,,
,PF-OPS-3.1,Update: Remote update support,,,,,,,,,,,,
,PF-OPS-4.1,Monitor: Telemetry data available for all modes (locale-specific?),,,,,,,,,,,,
,PF-OPS-5.1,Data: Live data snipping and uploading,,,,,,,,,,,,
,PF-OPS-5.2,Data: Remote viewing of data status,,,,,,,,,,,,
